Model,Project_ID,Project_Name,Project_Profile,Candidate_Plot_ID,Plot_Zone,UTM_Easting,UTM_Northing,Land_Price,Water_Stress,Fault_Hazard,Flood_Hazard
Static GIS-AHP,6,Logistics_6,Logistics,0,San Jeronimo,340439.15639999975,3515821.3913000003,105693.32934510983,1,0,0
Static GIS-AHP,7,Logistics_7,Logistics,1,San Jeronimo,340484.24149999954,3515820.7563000005,110544.64149590924,1,0,0
Static GIS-AHP,8,Logistics_8,Logistics,5,San Jeronimo,340775.18319999985,3515821.7249,102068.86493434492,1,0,0
Static GIS-AHP,9,Logistics_9,Logistics,3,San Jeronimo,340736.5519000003,3515818.0810000002,105407.04108435693,1,0,0
Static GIS-AHP,10,Logistics_10,Logistics,2,San Jeronimo,340717.16000000015,3515817.3696,108502.79041012654,1,0,0
Static GIS-AHP,1,Heavy_1,Heavy,6,San Jeronimo,340794.3661000002,3515824.6521000005,105427.1822677748,1,0,0
Static GIS-AHP,2,Heavy_2,Heavy,7,San Jeronimo,340813.4230000004,3515828.3106999993,107059.96055246121,1,0,0
Static GIS-AHP,3,Heavy_3,Heavy,4,San Jeronimo,340755.9024,3515819.533500001,112460.76368389235,1,0,0
Static GIS-AHP,4,Heavy_4,Heavy,8,San Jeronimo,340832.3261000002,3515832.6953999996,109033.5396527748,1,0,0
Static GIS-AHP,5,Heavy_5,Heavy,9,San Jeronimo,340851.04760000017,3515837.799799999,116273.8711506463,1,0,0
Static GIS-AHP,11,LightMfg_11,LightMfg,44,Suroriente,367326.79229999986,3494550.796599999,131219.80335862123,4,0,0
Static GIS-AHP,12,LightMfg_12,LightMfg,42,Suroriente,368474.1771,3493701.6623,136590.3657416085,4,0,0
Static GIS-AHP,13,LightMfg_13,LightMfg,22,Oriente,366317.4610000001,3502525.682,165330.45308650404,2,1,0
Static GIS-AHP,14,LightMfg_14,LightMfg,43,Suroriente,368508.0080000004,3491878.7841,120444.2370648901,4,0,0
Static GIS-AHP,15,LightMfg_15,LightMfg,31,Sur,359314.31120000035,3499518.5896000005,152486.67318389853,4,0,0
Abstract MILP,1,Heavy_1,Heavy,44,Suroriente,367326.79229999986,3494550.796599999,131219.80335862123,4,0,0
Abstract MILP,2,Heavy_2,Heavy,0,San Jeronimo,340439.15639999975,3515821.3913000003,105693.32934510983,1,0,0
Abstract MILP,3,Heavy_3,Heavy,3,San Jeronimo,340736.5519000003,3515818.0810000002,105407.04108435693,1,0,0
Abstract MILP,4,Heavy_4,Heavy,1,San Jeronimo,340484.24149999954,3515820.7563000005,110544.64149590924,1,0,0
Abstract MILP,5,Heavy_5,Heavy,2,San Jeronimo,340717.16000000015,3515817.3696,108502.79041012654,1,0,0
Abstract MILP,6,Logistics_6,Logistics,6,San Jeronimo,340794.3661000002,3515824.6521000005,105427.1822677748,1,0,0
Abstract MILP,7,Logistics_7,Logistics,5,San Jeronimo,340775.18319999985,3515821.7249,102068.86493434492,1,0,0
Abstract MILP,8,Logistics_8,Logistics,7,San Jeronimo,340813.4230000004,3515828.3106999993,107059.96055246121,1,0,0
Abstract MILP,9,Logistics_9,Logistics,4,San Jeronimo,340755.9024,3515819.533500001,112460.76368389235,1,0,0
Abstract MILP,10,Logistics_10,Logistics,8,San Jeronimo,340832.3261000002,3515832.6953999996,109033.5396527748,1,0,0
Abstract MILP,11,LightMfg_11,LightMfg,41,Suroriente,365210.88910000026,3496091.5407,128828.87887292118,4,0,0
Abstract MILP,12,LightMfg_12,LightMfg,43,Suroriente,368508.0080000004,3491878.7841,120444.2370648901,4,0,0
Abstract MILP,13,LightMfg_13,LightMfg,46,Suroriente,365206.8870000001,3496495.038899999,119326.30119307007,4,0,0
Abstract MILP,14,LightMfg_14,LightMfg,49,Suroriente,369383.51779999956,3490858.7676,139259.99417186118,4,0,0
Abstract MILP,15,LightMfg_15,LightMfg,47,Suroriente,369190.5098000001,3497092.683700001,127867.58622317977,4,0,0
Proposed GNN-MIP,1,Heavy_1,Heavy,3,San Jeronimo,340736.5519000003,3515818.0810000002,105407.04108435693,1,0,0
Proposed GNN-MIP,2,Heavy_2,Heavy,0,San Jeronimo,340439.15639999975,3515821.3913000003,105693.32934510983,1,0,0
Proposed GNN-MIP,3,Heavy_3,Heavy,7,San Jeronimo,340813.4230000004,3515828.3106999993,107059.96055246121,1,0,0
Proposed GNN-MIP,4,Heavy_4,Heavy,27,Oriente,367961.7735000001,3502320.432,200996.797087835,2,0,0
Proposed GNN-MIP,5,Heavy_5,Heavy,4,San Jeronimo,340755.9024,3515819.533500001,112460.76368389235,1,0,0
Proposed GNN-MIP,6,Logistics_6,Logistics,1,San Jeronimo,340484.24149999954,3515820.7563000005,110544.64149590924,1,0,0
Proposed GNN-MIP,7,Logistics_7,Logistics,2,San Jeronimo,340717.16000000015,3515817.3696,108502.79041012654,1,0,0
Proposed GNN-MIP,8,Logistics_8,Logistics,5,San Jeronimo,340775.18319999985,3515821.7249,102068.86493434492,1,0,0
Proposed GNN-MIP,9,Logistics_9,Logistics,8,San Jeronimo,340832.3261000002,3515832.6953999996,109033.5396527748,1,0,0
Proposed GNN-MIP,10,Logistics_10,Logistics,6,San Jeronimo,340794.3661000002,3515824.6521000005,105427.1822677748,1,0,0
Proposed GNN-MIP,11,LightMfg_11,LightMfg,41,Suroriente,365210.88910000026,3496091.5407,128828.87887292118,4,0,0
Proposed GNN-MIP,12,LightMfg_12,LightMfg,43,Suroriente,368508.0080000004,3491878.7841,120444.2370648901,4,0,0
Proposed GNN-MIP,13,LightMfg_13,LightMfg,44,Suroriente,367326.79229999986,3494550.796599999,131219.80335862123,4,0,0
Proposed GNN-MIP,14,LightMfg_14,LightMfg,47,Suroriente,369190.5098000001,3497092.683700001,127867.58622317977,4,0,0
Proposed GNN-MIP,15,LightMfg_15,LightMfg,46,Suroriente,365206.8870000001,3496495.038899999,119326.30119307007,4,0,0
