variant_id,project_id,plot_id
euclidean_milp,1,0
euclidean_milp,2,3
euclidean_milp,3,1
euclidean_milp,4,26
euclidean_milp,5,2
euclidean_milp,6,4
euclidean_milp,7,5
euclidean_milp,8,6
euclidean_milp,9,8
euclidean_milp,10,9
euclidean_milp,11,46
euclidean_milp,12,48
euclidean_milp,13,47
euclidean_milp,14,49
euclidean_milp,15,41
network_milp,1,0
network_milp,2,3
network_milp,3,1
network_milp,4,26
network_milp,5,2
network_milp,6,4
network_milp,7,8
network_milp,8,6
network_milp,9,5
network_milp,10,9
network_milp,11,46
network_milp,12,48
network_milp,13,47
network_milp,14,49
network_milp,15,41
synthetic_stgnn_milp,1,0
synthetic_stgnn_milp,2,3
synthetic_stgnn_milp,3,4
synthetic_stgnn_milp,4,26
synthetic_stgnn_milp,5,2
synthetic_stgnn_milp,6,9
synthetic_stgnn_milp,7,8
synthetic_stgnn_milp,8,6
synthetic_stgnn_milp,9,5
synthetic_stgnn_milp,10,1
synthetic_stgnn_milp,11,46
synthetic_stgnn_milp,12,48
synthetic_stgnn_milp,13,47
synthetic_stgnn_milp,14,49
synthetic_stgnn_milp,15,41
