parcel_id,border_crossing,timestamp_or_scenario,predicted_minutes,baseline_minutes,source
0,Zaragoza,synthetic_peak_shift,47.8842,31.2285,synthetic_scenario_not_observed_traffic
0,Americas,synthetic_peak_shift,42.7752,24.2285,synthetic_scenario_not_observed_traffic
0,Santa Teresa,synthetic_peak_shift,8.4217,7.2285,synthetic_scenario_not_observed_traffic
1,Zaragoza,synthetic_peak_shift,45.1308,29.5367,synthetic_scenario_not_observed_traffic
1,Americas,synthetic_peak_shift,39.5032,22.5367,synthetic_scenario_not_observed_traffic
1,Santa Teresa,synthetic_peak_shift,5.9323,5.5367,synthetic_scenario_not_observed_traffic
2,Zaragoza,synthetic_peak_shift,47.6039,30.9874,synthetic_scenario_not_observed_traffic
2,Americas,synthetic_peak_shift,42.4176,23.9874,synthetic_scenario_not_observed_traffic
2,Santa Teresa,synthetic_peak_shift,8.075,6.9874,synthetic_scenario_not_observed_traffic
3,Zaragoza,synthetic_peak_shift,48.6904,31.0495,synthetic_scenario_not_observed_traffic
3,Americas,synthetic_peak_shift,42.3204,24.0495,synthetic_scenario_not_observed_traffic
3,Santa Teresa,synthetic_peak_shift,7.3248,7.0495,synthetic_scenario_not_observed_traffic
4,Zaragoza,synthetic_peak_shift,47.9992,31.2766,synthetic_scenario_not_observed_traffic
4,Americas,synthetic_peak_shift,42.9232,24.2766,synthetic_scenario_not_observed_traffic
4,Santa Teresa,synthetic_peak_shift,7.9793,7.2766,synthetic_scenario_not_observed_traffic
5,Zaragoza,synthetic_peak_shift,47.4946,30.8614,synthetic_scenario_not_observed_traffic
5,Americas,synthetic_peak_shift,42.3686,23.8614,synthetic_scenario_not_observed_traffic
5,Santa Teresa,synthetic_peak_shift,7.4702,6.8614,synthetic_scenario_not_observed_traffic
6,Zaragoza,synthetic_peak_shift,47.376,30.6788,synthetic_scenario_not_observed_traffic
6,Americas,synthetic_peak_shift,41.704,23.6788,synthetic_scenario_not_observed_traffic
6,Santa Teresa,synthetic_peak_shift,7.5294,6.6788,synthetic_scenario_not_observed_traffic
7,Zaragoza,synthetic_peak_shift,48.7452,31.3095,synthetic_scenario_not_observed_traffic
7,Americas,synthetic_peak_shift,43.6125,24.3095,synthetic_scenario_not_observed_traffic
7,Santa Teresa,synthetic_peak_shift,7.8373,7.3095,synthetic_scenario_not_observed_traffic
8,Zaragoza,synthetic_peak_shift,47.0476,30.6158,synthetic_scenario_not_observed_traffic
8,Americas,synthetic_peak_shift,41.6357,23.6158,synthetic_scenario_not_observed_traffic
8,Santa Teresa,synthetic_peak_shift,7.8419,6.6158,synthetic_scenario_not_observed_traffic
9,Zaragoza,synthetic_peak_shift,47.4975,30.9145,synthetic_scenario_not_observed_traffic
9,Americas,synthetic_peak_shift,41.4382,23.9145,synthetic_scenario_not_observed_traffic
9,Santa Teresa,synthetic_peak_shift,7.9313,6.9145,synthetic_scenario_not_observed_traffic
10,Zaragoza,synthetic_peak_shift,35.2356,22.5574,synthetic_scenario_not_observed_traffic
10,Americas,synthetic_peak_shift,16.3928,9.5574,synthetic_scenario_not_observed_traffic
10,Santa Teresa,synthetic_peak_shift,27.1293,24.5574,synthetic_scenario_not_observed_traffic
11,Zaragoza,synthetic_peak_shift,34.345,22.0875,synthetic_scenario_not_observed_traffic
